fb,tb,from_name,to_name,r_aa,r_ab,r_ac,r_bb,r_bc,r_cc,x_aa,x_ab,x_ac,x_bb,x_bc,x_cc,r_s1s1,r_s1s2,r_s2s2,x_s1s1,x_s1s2,x_s2s2,primary_phase,type,name,status,s_base,v_ln_base,z_base,phases
1,2,sourcebus,hvmv115_hsb1,0.0,0.0,0.0,0.0,0.0,0.0,3.3568937543126746e-05,0.0,0.0,3.3568937543126746e-05,0.0,3.3568937543126746e-05,0.0,0.0,0.0,0.0,0.0,0.0,,reactor,hvmv_sub_hsb,CLOSED,10000,66395.28095680696,440833.3333333334,abc
2,3,hvmv115_hsb1,hvmv115_hsb2,2.268431001890359e-12,0.0,0.0,2.268431001890359e-12,0.0,2.268431001890359e-12,2.268431001890359e-12,0.0,0.0,2.268431001890359e-12,0.0,2.268431001890359e-12,0.0,0.0,0.0,0.0,0.0,0.0,,switch,hvmv115b1_sw,CLOSED,10000,66395.28095680696,440833.3333333334,abc
3,4,hvmv115_hsb2,regxfmr_hvmv69sub1_lsb1,5.3599999999999995e-06,0.0,0.0,5.3599999999999995e-06,0.0,5.3599999999999995e-06,2.8199999999999994e-05,0.0,0.0,2.8199999999999994e-05,0.0,2.8199999999999994e-05,0.0,0.0,0.0,0.0,0.0,0.0,,transformer,hvmv115_69sub,CLOSED,10000,39837.16857408418,158700.0,abc
4,5,regxfmr_hvmv69sub1_lsb1,hvmv69sub1_lsb2,6.30119722747322e-12,0.0,0.0,6.30119722747322e-12,0.0,6.30119722747322e-12,6.30119722747322e-12,0.0,0.0,6.30119722747322e-12,0.0,6.30119722747322e-12,0.0,0.0,0.0,0.0,0.0,0.0,,switch,hvmv69s1b4_sw,CLOSED,10000,39837.16857408418,158700.0,abc
5,6,hvmv69sub1_lsb2,hvmv69sub1_hsb,6.30119722747322e-12,0.0,0.0,6.30119722747322e-12,0.0,6.30119722747322e-12,6.30119722747322e-12,0.0,0.0,6.30119722747322e-12,0.0,6.30119722747322e-12,0.0,0.0,0.0,0.0,0.0,0.0,,switch,hvmv69s1b1_sw,CLOSED,10000,39837.16857408418,158700.0,abc
6,7,hvmv69sub1_hsb,regxfmr_hvmv11sub1_lsb,2.0099999999999997e-05,0.0,0.0,2.0099999999999997e-05,0.0,2.0099999999999997e-05,0.00011910000000000001,0.0,0.0,0.00011910000000000001,0.0,0.00011910000000000001,0.0,0.0,0.0,0.0,0.0,0.0,,transformer,hvmv69_11sub1,CLOSED,10000,7199.557856794634,5183.363333333335,abc
7,8,regxfmr_hvmv11sub1_lsb,hvmv11sub1_lsb,1.0910430860411855e-08,0.0,0.0,1.0910430860411855e-08,0.0,1.0910430860411855e-08,1.0910430860411855e-06,0.0,0.0,1.0910430860411855e-06,0.0,1.0910430860411855e-06,0.0,0.0,0.0,0.0,0.0,0.0,,transformer,feeder_reg1afeeder_reg1bfeeder_reg1c,CLOSED,10000,7199.557856794634,5183.363333333335,abc
8,9,hvmv11sub1_lsb,hvmv_sub1_48332,1.9292492840877443e-10,0.0,0.0,1.9292492840877443e-10,0.0,1.9292492840877443e-10,1.9292492840877444e-09,0.0,0.0,1.9292492840877444e-09,0.0,1.9292492840877444e-09,0.0,0.0,0.0,0.0,0.0,0.0,,line,hvmv_sub_connector,,10000,7199.557856794634,5183.363333333335,abc
9,10,hvmv_sub1_48332,d5710794-3_int,8.030424460866783e-07,2.0921692648144155e-07,2.1434613596772748e-07,7.954268130238472e-07,2.1031746232779352e-07,8.054385019838467e-07,2.380895875271332e-06,1.0306790054063993e-06,9.244051145808157e-07,2.4462080843744306e-06,1.090861630053588e-06,2.360598769525835e-06,0.0,0.0,0.0,0.0,0.0,0.0,,line,ln5710794-3,,10000,7199.557856794634,5183.363333333335,abc
10,11,d5710794-3_int,e192860,1.9292492840877443e-10,0.0,0.0,1.9292492840877443e-10,0.0,1.9292492840877443e-10,1.9292492840877443e-10,0.0,0.0,1.9292492840877443e-10,0.0,1.9292492840877443e-10,0.0,0.0,0.0,0.0,0.0,0.0,,switch,hvmv69s1b2_sw,CLOSED,10000,7199.557856794634,5183.363333333335,abc
11,12,e192860,m1209817,8.09541887743672e-07,2.1091022826635722e-07,2.1608095112216065e-07,8.018646173875519e-07,2.120196713237286e-07,8.119573361718161e-07,2.400165708277186e-06,1.0390208285508313e-06,9.318868076580904e-07,2.466006523177679e-06,1.0996905425910715e-06,2.379704327460998e-06,0.0,0.0,0.0,0.0,0.0,0.0,,line,ln5815900-1,,10000,7199.557856794634,5183.363333333335,abc
12,13,m1209817,l2801909,1.0433532959006666e-06,2.718251953758595e-07,2.78489323341897e-07,1.033458680871043e-06,2.732550671194314e-07,1.046466372712055e-06,3.0933801454282253e-06,1.3391102083666395e-06,1.2010338030640335e-06,3.1782370654607135e-06,1.4173025132536208e-06,3.06700912073332e-06,0.0,0.0,0.0,0.0,0.0,0.0,,line,ln5742828-1,,10000,7199.557856794634,5183.363333333335,abc
13,14,l2801909,m1209814,2.8621534529456733e-06,7.456778299349134e-07,7.639590362566904e-07,2.8350102918669917e-06,7.496002906816358e-07,2.8706933248950964e-06,8.485839551470505e-06,3.6734813814363767e-06,3.2947066540646385e-06,8.718621225359466e-06,3.887980512560377e-06,8.413497881889558e-06,0.0,0.0,0.0,0.0,0.0,0.0,,line,ln5742828-2,,10000,7199.557856794634,5183.363333333335,abc
