id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,sourcebus,0.0,0.0,0.0,0.0,0.0,0.0,SWING,1.05,1.05,1.05,39837.16857408418,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,-300.0
2,800,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,0.0
3,802,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,400.0
4,mid806,0.0,0.0,0.030000010247228596,0.015000006949403785,0.025000007762301303,0.014000003069477518,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,True,False,0.0,0.0
5,806,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,700.0
6,808,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,1000.0
7,mid810,0.0,0.0,0.016469038012288963,0.008234530893398723,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,True,False,0.0,0.0
8,810,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,b,False,False,False,-800.0,1000.0
9,812,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,1300.0
10,814,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,1600.0
11,814r,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,2100.0
12,850,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,2500.0
13,816,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,abc,False,False,False,0.0,2900.0
14,818,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,14376.021702821681,1000000.0,0.95,1.05,0.0,0.0,a,False,False,False,400.0,2900.0
