id,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,pl_s1,ql_s1,pl_s2,ql_s2,pl_s1s2,ql_s1s2,cvr_p,cvr_q,name,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,phases,primary_phase,has_gen,has_load,has_cap,latitude,longitude,load_shape
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sourcebus,SWING,1.05,1.05,1.05,66395.28095680696,1000000.0,0.9,1.05,abc,,False,False,False,46.6965308,-119.0696656,default
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv115_hsb1,PQ,1.0,1.0,1.0,66395.28095680696,1000000.0,0.9,1.05,abc,,False,False,False,46.6960952,-119.0701878,default
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv115_hsb2,PQ,1.0,1.0,1.0,66395.28095680696,1000000.0,0.9,1.05,abc,,False,False,False,46.6956596,-119.07071,default
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,regxfmr_hvmv69sub1_lsb1,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.695224,-119.0712322,default
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69sub1_lsb2,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.69478842,-119.0717544,default
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_1,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.69391722,-119.07071,default
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_2,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.6804138,-119.0691435,default
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_3,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.6717019,-119.0696656,default
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_4,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.66734596,-119.0811537,default
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_5,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.66734596,-119.1072628,default
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_6,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.65427812,-119.1333719,default
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_7,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.64338826,-119.1594811,default
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_8,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.63685434,-119.1751466,default
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_9,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.62901364,-119.190812,default
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s1s2_10,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.62073734,-119.2033444,default
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69sub2_lnb,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.62073734,-119.2047543,default
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s2s3_1,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.62073734,-119.2059553,default
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69s2s3_2,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.679107,-119.2401583,default
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv69sub3_hsb,PQ,1.0,1.0,1.0,39837.16857408418,1000000.0,0.9,1.05,abc,,False,False,False,46.6799782,-119.2404194,default
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,regxfmr_hvmv11sub3_lsb,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.9,1.05,abc,,False,False,False,46.68084938,-119.2406805,default
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hvmv11sub3_lsb,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.9,1.05,abc,,False,False,False,46.68172058,-119.2409416,default
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e203026,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.9,1.05,abc,,False,False,False,46.68271272,-119.2412838,default
