id,name,p_a,p_b,p_c,q_a,q_b,q_c,s_a_max,s_b_max,s_c_max,p_s1,p_s2,q_s1,q_s2,s_s1_max,s_s2_max,primary_phase,phases,q_a_max,q_b_max,q_c_max,q_a_min,q_b_min,q_c_min,q_s1_max,q_s2_max,q_s1_min,q_s2_min,control_variable,gen_shape
323,pv_1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004435,0.004435,0.00333665626039,0.00333665626039,0.00555,0.00555,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00555,0.00555,-0.00555,-0.00555,P,PV
357,pv_1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
383,pv_1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
385,pv_1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0019530488985173,0.0019530488985173,0.0033,0.0033,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0033,-0.0033,-0.0033,P,PV
387,pv_1107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
411,pv_1169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
417,pv_1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
543,pv_1177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007295,0.007295,0.0055231761695604,0.0055231761695604,0.00915,0.00915,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00915,0.00915,-0.00915,-0.00915,P,PV
564,pv_1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005085,0.005085,-0.0038033242039039,-0.0038033242039037,0.00635,0.00635,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00635,0.00635,-0.00635,-0.00635,P,PV
655,pv_1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00665,0.00665,0.005049752469181,0.005049752469181,0.00835,0.00835,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00835,0.00835,-0.00835,-0.00835,P,PV
760,pv_1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00292,0.00292,0.00219,0.00219,0.00365,0.00365,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00365,0.00365,-0.00365,-0.00365,P,PV
768,pv_1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009725,0.009725,0.0072833285659786,0.0072833285659786,0.01215,0.01215,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.01215,0.01215,-0.01215,-0.01215,P,PV
776,pv_1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00292,0.00292,0.00219,0.00219,0.00365,0.00365,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00365,0.00365,-0.00365,-0.00365,P,PV
872,pv_1173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00292,0.00292,0.0021900000000057,0.00219,0.00365,0.00365,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00365,0.00365,-0.00365,-0.00365,P,PV
879,pv_1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004865,0.004865,0.0035964253085529,0.0035964253085529,0.00605,0.00605,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00605,0.00605,-0.00605,-0.00605,P,PV
915,pv_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001775,0.001775,0.0012997595931555,0.0012997595931555,0.0022,0.0022,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0022,-0.0022,-0.0022,P,PV
936,pv_1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004435,0.004435,0.00333665626039,0.0033366562606208,0.00555,0.00555,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00555,0.00555,-0.00555,-0.00555,P,PV
982,pv_1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001775,0.001775,0.0013827056809024,0.0013827056809024,0.00225,0.00225,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00225,0.00225,-0.00225,-0.00225,P,PV
1005,pv_1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004435,0.004435,0.00333665626039,0.00333665626039,0.00555,0.00555,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00555,0.00555,-0.00555,-0.00555,P,PV
1007,pv_1167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
1044,pv_1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005085,0.005085,-0.0038033242039037,-0.0038033242039037,0.00635,0.00635,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00635,0.00635,-0.00635,-0.00635,P,PV
1053,pvfarm1,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1863389981249825,0.1863389981249825,-0.1863389981249825,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,abc,0.25,0.25,0.25,-0.25,-0.25,-0.25,0.0,0.0,0.0,0.0,P,PV
1398,steamgen1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.109087994999324,0.0084392572384662,0.5235070612688283,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,abc,1.3333333333333333,1.3333333333333333,1.3333333333333333,-1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,0.0,0.0,0.0,P,PV
2129,pv_1073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
2183,pv_1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00887,0.00887,0.0065898103159347,0.0065898103159347,0.01105,0.01105,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.01105,0.01105,-0.01105,-0.01105,P,PV
2187,pv_1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01017,0.01017,-0.0076066484078074,-0.0076066484078074,0.0127,0.0127,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0127,-0.0127,-0.0127,P,PV
2193,pv_1069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00305,0.00305,-0.0023494680248941,-0.0023494680248941,0.00385,0.00385,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00385,0.00385,-0.00385,-0.00385,P,PV
2247,pv_1163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0020363938715287,0.0020363938715287,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,P,PV
2268,pv_1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00305,0.00305,-0.0022666053913286,-0.0022666053913286,0.0038,0.0038,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0038,-0.0038,-0.0038,P,PV
2303,pv_1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005085,0.005085,-0.0038862288918693,-0.0038862288918693,0.0064,0.0064,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0064,-0.0064,-0.0064,P,PV
2362,pv_1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00305,0.00305,0.0022666053913286,0.0022666053913286,0.0038,0.0038,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0038,-0.0038,-0.0038,P,PV
2385,pv_1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002035,0.002035,-0.0015366440706943,-0.0015366440706943,0.00255,0.00255,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00255,0.00255,-0.00255,-0.00255,P,PV
2396,pv_1165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002035,0.002035,-0.0015366440706943,-0.0015366440706943,0.00255,0.00255,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00255,0.00255,-0.00255,-0.00255,P,PV
2426,pv_1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002035,0.002035,-0.0015366440706943,-0.0015366440706943,0.00255,0.00255,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00255,0.00255,-0.00255,-0.00255,P,PV
2434,pv_1099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005085,0.005085,-0.0038033687891054,-0.0038033242039037,0.00635,0.00635,c,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00635,0.00635,-0.00635,-0.00635,P,PV
2450,microturb-4,0.0333333333333333,0.0333333333333333,0.0333333333333333,-0.0763762615825973,-0.0763762615825973,-0.0763762615825973,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,abc,0.0833333333333333,0.0833333333333333,0.0833333333333333,-0.0833333333333333,-0.0833333333333333,-0.0833333333333333,0.0,0.0,0.0,0.0,P,PV
