id,name,p_a,p_b,p_c,q_a,q_b,q_c,s_a_max,s_b_max,s_c_max,p_s1,p_s2,q_s1,q_s2,s_s1_max,s_s2_max,primary_phase,phases,q_a_max,q_b_max,q_c_max,q_a_min,q_b_min,q_c_min,q_s1_max,q_s2_max,q_s1_min,q_s2_min,control_variable,gen_shape
413,steamgen1,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.35982854809205816,-0.35982854809205816,-0.35982854809205816,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,abc,1.3333333333333333,1.3333333333333333,1.3333333333333333,-1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,0.0,0.0,0.0,,PV
900,pv_1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004435,0.004435,0.0,0.0,0.00555,0.00555,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00555,0.00555,-0.00555,-0.00555,,PV
934,pv_1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0,0.0,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,,PV
1030,pv_1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004865,0.004865,0.0,0.0,0.0061,0.0061,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0061,-0.0061,-0.0061,,PV
1062,pv_1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00292,0.00292,0.0,0.0,0.00365,0.00365,b,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00365,0.00365,-0.00365,-0.00365,,PV
1099,pv_1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0,0.0,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,,PV
1101,pv_1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0,0.0,0.0033,0.0033,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0033,-0.0033,-0.0033,,PV
1103,pv_1107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0,0.0,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,,PV
1127,pv_1169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0,0.0,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,,PV
1133,pv_1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00266,0.0,0.0,0.00335,0.00335,a,s1s2,0.0,0.0,0.0,0.0,0.0,0.0,0.00335,0.00335,-0.00335,-0.00335,,PV
