fb,tb,from_name,to_name,r_aa,r_ab,r_ac,r_bb,r_bc,r_cc,x_aa,x_ab,x_ac,x_bb,x_bc,x_cc,r_s1s1,r_s1s2,r_s2s2,x_s1s1,x_s1s2,x_s2s2,primary_phase,type,name,status,s_base,v_ln_base,z_base,phases
1,2,p1udt942-p1uhs0_1247x,p1udt942,0.0008043147735292849,0.00019925354352746504,0.00019925354352746504,0.0008043147735292849,0.00019925354352746504,0.0008043147735292849,0.0014126204808647405,0.0004872198053702581,0.0004872198053702581,0.0014126204808647405,0.0004872198053702581,0.0014126204808647405,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt942-p1uhs0_1247),,1000000,7199.557856794634,51.833633333333346,abc
2,3,p1udt942,p1udt894-p1udt942x,1.9292492840877443e-08,0.0,0.0,1.9292492840877443e-08,0.0,1.9292492840877443e-08,1.9292492840877443e-08,0.0,0.0,1.9292492840877443e-08,0.0,1.9292492840877443e-08,0.0,0.0,0.0,0.0,0.0,0.0,,line,recloser_disswitch(r:p1udt894-p1udt942)p1u_12266,,1000000,7199.557856794634,51.833633333333346,abc
3,4,p1udt894-p1udt942x,p1udt894,0.0016004931818285292,0.0003964914587749652,0.0003964914587749652,0.0016004931818285292,0.0003964914587749652,0.0016004931818285292,0.0028109510387515435,0.0009695109454787718,0.0009695109454787718,0.0028109510387515435,0.0009695109454787718,0.0028109510387515435,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt894-p1udt942),,1000000,7199.557856794634,51.833633333333346,abc
4,5,p1udt894,p1udt893,0.0016788407677074536,0.00041590056902255864,0.00041590056902255864,0.0016788407677074536,0.00041590056902255864,0.0016788407677074536,0.0029485531419097886,0.0010169705928698802,0.0010169705928698802,0.0029485531419097886,0.0010169705928698802,0.0029485531419097886,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt893-p1udt894),,1000000,7199.557856794634,51.833633333333346,abc
5,6,p1udt893,p1udt893lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595268639053254,0.0,0.1595268639053254,0.4792899408284023,0.0,0.23964497041420116,a,center_tap_xfmr,tr(r:p1udt893-p1udt893lv),CLOSED,1000000,138.66666666666669,0.019228444444444447,s1s2
6,7,p1udt893lv,p1ulv4136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6277352863658777,0.25186495093688366,0.6277352863658777,0.2530036865138067,0.16926282408777119,0.2530036865138067,a,triplex_line,l(r:p1udt893lv-p1ulv4136),,1000000,104.0,0.010816,s1s2
5,8,p1udt893,p1udt907,0.0003061840490007453,7.585121987413576e-05,7.585121987413576e-05,0.0003061840490007453,7.585121987413576e-05,0.0003061840490007453,0.0005377519756782113,0.00018547332172829862,0.00018547332172829862,0.0005377519756782113,0.00018547332172829862,0.0005377519756782113,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt893-p1udt907),,1000000,7199.557856794634,51.833633333333346,abc
8,9,p1udt907,p1udt907lv,0.697632,0.0,0.0,0.697632,0.0,0.697632,1.296,0.0,0.0,1.296,0.0,1.296,0.0,0.0,0.0,0.0,0.0,0.0,,transformer,tr(r:p1udt907-p1udt907lv),CLOSED,1000000,277.1281292110204,0.07680000000000002,abc
9,10,p1udt907lv,p1ulv4153,0.0649137109860677,0.0334210500485677,0.0334210500485677,0.0649137109860677,0.0334210500485677,0.0649137109860677,0.0981942700520833,0.055782620833333324,0.055782620833333324,0.0981942700520833,0.055782620833333324,0.0981942700520833,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt907lv-p1ulv4153),,1000000,277.1281292110204,0.07680000000000002,abc
8,11,p1udt907,p1udt908,0.00024843198831575895,6.154425559073291e-05,6.154425559073291e-05,0.00024843198831575895,6.154425559073291e-05,0.00024843198831575895,0.00043632185600282693,0.00015048957072344917,0.00015048957072344917,0.00043632185600282693,0.00015048957072344917,0.00043632185600282693,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt907-p1udt908),,1000000,7199.557856794634,51.833633333333346,abc
11,12,p1udt908,p1udt908-p1udt909x,0.0,0.0,0.0,1.9292492840877443e-08,0.0,0.0,0.0,0.0,0.0,1.9292492840877443e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,line,fuse(r:p1udt908-p1udt909)p1u_12084,,1000000,7199.557856794634,51.833633333333346,b
12,13,p1udt908-p1udt909x,p1udt909,0.0,0.0,0.0,0.00035573681052649845,0.0,0.0,0.0,0.0,0.0,0.0002605843885791014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt908-p1udt909),,1000000,7199.557856794634,51.833633333333346,b
13,14,p1udt909,p1udt909lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595268639053254,0.0,0.1595268639053254,0.4792899408284023,0.0,0.23964497041420116,b,center_tap_xfmr,tr(r:p1udt909-p1udt909lv),CLOSED,1000000,138.66666666666669,0.019228444444444447,s1s2
14,15,p1udt909lv,p1ulv4155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7560826201923077,0.30336149038461546,0.7560826201923077,0.3047330528846154,0.20387045673076923,0.3047330528846154,b,triplex_line,l(r:p1udt909lv-p1ulv4155),,1000000,104.0,0.010816,s1s2
11,16,p1udt908,p1udt908lv,0.697632,0.0,0.0,0.697632,0.0,0.697632,1.296,0.0,0.0,1.296,0.0,1.296,0.0,0.0,0.0,0.0,0.0,0.0,,transformer,tr(r:p1udt908-p1udt908lv),CLOSED,1000000,277.1281292110204,0.07680000000000002,abc
16,17,p1udt908lv,p1ulv4154,0.05262185092278645,0.027092543110286454,0.027092543110286454,0.05262185092278645,0.027092543110286454,0.05262185092278645,0.0796005059895833,0.045219795833333326,0.045219795833333326,0.0796005059895833,0.045219795833333326,0.0796005059895833,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt908lv-p1ulv4154),,1000000,277.1281292110204,0.07680000000000002,abc
4,18,p1udt894,p1udt894-p1udt895x,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,0.0,0.0,0.0,0.0,0.0,0.0,,switch,goab_disswitch(r:p1udt894-p1udt895)p1u_12238,CLOSED,1000000,7199.557856794634,51.833633333333346,abc
18,19,p1udt894-p1udt895x,p1udt895,0.0007885891434898447,0.00019535782059325698,0.00019535782059325698,0.0007885891434898447,0.00019535782059325698,0.0007885891434898447,0.0013850015090401402,0.0004776938850971279,0.0004776938850971279,0.0013850015090401402,0.0004776938850971279,0.0013850015090401402,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt894-p1udt895),,1000000,7199.557856794634,51.833633333333346,abc
19,20,p1udt895,p1udt1431-p1udt895x,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,0.0,0.0,0.0,0.0,0.0,0.0,,switch,goab_disswitch(r:p1udt1431-p1udt895)p1u_12316,CLOSED,1000000,7199.557856794634,51.833633333333346,abc
20,21,p1udt1431-p1udt895x,p1udt1431,0.0021461627244459677,0.0005316706119371656,0.0005316706119371656,0.0021461627244459677,0.0005316706119371656,0.0021461627244459677,0.00376931211460641,0.0013000544305672827,0.0013000544305672827,0.00376931211460641,0.0013000544305672827,0.00376931211460641,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt1431-p1udt895),,1000000,7199.557856794634,51.833633333333346,abc
21,22,p1udt1431,p1udt1431lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595268639053254,0.0,0.1595268639053254,0.4792899408284023,0.0,0.23964497041420116,b,center_tap_xfmr,tr(r:p1udt1431-p1udt1431lv),CLOSED,1000000,138.66666666666669,0.019228444444444447,s1s2
22,23,p1udt1431lv,p1ulv7544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8985148203279091,0.360509272066075,0.8985148203279091,0.36213921196992116,0.24227593904092704,0.36213921196992116,b,triplex_line,l(r:p1udt1431lv-p1ulv7544),,1000000,104.0,0.010816,s1s2
21,24,p1udt1431,p1udt884,0.0008471920154700068,0.00020987555704076306,0.00020987555704076306,0.0008471920154700068,0.00020987555704076306,0.0008471920154700068,0.0014879259111786488,0.0005131930215297787,0.0005131930215297787,0.0014879259111786488,0.0005131930215297787,0.0014879259111786488,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt1431-p1udt884),,1000000,7199.557856794634,51.833633333333346,abc
24,25,p1udt884,p1udt883,0.00043769226049604845,0.00010842985451542079,0.00010842985451542079,0.00043769226049604845,0.00010842985451542079,0.00043769226049604845,0.0007687202471486015,0.0002651354233308617,0.0002651354233308617,0.0007687202471486015,0.0002651354233308617,0.0007687202471486015,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt883-p1udt884),,1000000,7199.557856794634,51.833633333333346,abc
25,26,p1udt883,p1udt1433,0.000974140355382509,0.00024132457103997465,0.00024132457103997465,0.000974140355382509,0.00024132457103997465,0.000974140355382509,0.0017108856663318342,0.0005900929461610831,0.0005900929461610831,0.0017108856663318342,0.0005900929461610831,0.0017108856663318342,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt1433-p1udt883),,1000000,7199.557856794634,51.833633333333346,abc
26,27,p1udt1433,p1udt1425,0.0007062365019675126,0.00017495653470095667,0.00017495653470095667,0.0007062365019675126,0.00017495653470095667,0.0007062365019675126,0.0012403653144849964,0.0004278081447194195,0.0004278081447194195,0.0012403653144849964,0.0004278081447194195,0.0012403653144849964,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt1425-p1udt1433),,1000000,7199.557856794634,51.833633333333346,abc
27,28,p1udt1425,p1udt1425-p1udt881x,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,1.9292492840877444e-05,0.0,0.0,1.9292492840877444e-05,0.0,1.9292492840877444e-05,0.0,0.0,0.0,0.0,0.0,0.0,,switch,goab_disswitch(r:p1udt1425-p1udt881)p1u_12301,CLOSED,1000000,7199.557856794634,51.833633333333346,abc
28,29,p1udt1425-p1udt881x,p1udt881,0.0011031017442786504,0.000273272279277419,0.000273272279277419,0.0011031017442786504,0.000273272279277419,0.0011031017442786504,0.0019373809455321479,0.0006682122905597329,0.0006682122905597329,0.0019373809455321479,0.0006682122905597329,0.0019373809455321479,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt1425-p1udt881),,1000000,7199.557856794634,51.833633333333346,abc
29,30,p1udt881,p1udt1432-p1udt881x,0.0,0.0,0.0,1.9292492840877443e-08,0.0,0.0,0.0,0.0,0.0,1.9292492840877443e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,line,fuse(r:p1udt1432-p1udt881)p1u_12081,,1000000,7199.557856794634,51.833633333333346,b
30,31,p1udt1432-p1udt881x,p1udt1432,0.0,0.0,0.0,0.0019518972160289742,0.0,0.0,0.0,0.0,0.0,0.0014298040786259116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,line,l(r:p1udt1432-p1udt881),,1000000,7199.557856794634,51.833633333333346,b
31,32,p1udt1432,p1udt1432lv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595268639053254,0.0,0.1595268639053254,0.4792899408284023,0.0,0.23964497041420116,b,center_tap_xfmr,tr(r:p1udt1432-p1udt1432lv),CLOSED,1000000,138.66666666666669,0.019228444444444447,s1s2
