id,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,pl_s1,ql_s1,pl_s2,ql_s2,pl_s1s2,ql_s1s2,cvr_p,cvr_q,name,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,phases,primary_phase,has_gen,has_load,has_cap,latitude,longitude
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sourcebus,SWING,1.0,1.0,1.0,7199.557856794634,10000,0.95,1.05,abc,,False,False,False,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pribus,PQ,1.0,1.0,1.0,7199.557856794634,10000,0.95,1.05,abc,,False,False,False,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secbus,PQ,1.0,1.0,1.0,120.0,10000,0.95,1.05,s1s2,a,False,False,False,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.17999779378645406,0.039998178132316584,0.11999928939804588,0.01999928498284118,0.0,0.0,0.0,0.0,house2,PQ,1.0,1.0,1.0,120.0,10000,0.95,1.05,s1s2,a,False,True,False,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.19999678511541155,0.049997747735066767,0.14999821733694257,0.02999877115268856,0.4499935718216608,0.0799959777620725,0.0,0.0,loadbus,PQ,1.0,1.0,1.0,120.0,10000,0.95,1.05,s1s2,a,False,True,False,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pribus_c,PQ,1.0,1.0,1.0,7199.557856794634,10000,0.95,1.05,c,,False,False,False,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secbus3,PQ,1.0,1.0,1.0,120.0,10000,0.95,1.05,s1s2,c,False,False,False,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.15999886526809165,0.029999385419586373,0.1999977821512563,0.04999869696819813,0.2499976651863566,0.034998915231727476,0.0,0.0,house4,PQ,1.0,1.0,1.0,120.0,10000,0.95,1.05,s1s2,c,False,True,False,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pribus_b,PQ,1.0,1.0,1.0,7199.557856794634,10000,0.95,1.05,b,,False,False,False,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secbus2,PQ,1.0,1.0,1.0,120.0,10000,0.95,1.05,s1s2,b,False,False,False,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.2199975057369536,0.05999841514527347,0.09999960387033331,0.014999780682909171,0.2999976248043839,0.039998862326049336,0.0,0.0,house3,PQ,1.0,1.0,1.0,120.0,10000,0.95,1.05,s1s2,b,False,True,False,0.0,0.0
